date,card,side,triggered,entry_level,fill_ts,fill_price,exit_ts,exit_price,exit_reason,pnl_yen,mae_yen,mfe_yen,auction_slip_yen
2026-05-21,A,long,0,5372,,,,,,,,,47.0
2026-05-21,B,short,0,5744,,,,,,,,,47.0
2026-05-21,C,long,0,,,,,,,,,,47.0
2026-05-21,D,long,1,5744,09:30,5930,15:25,5677,eod_close,-25300,-367,174,47.0
2026-05-22,A,long,0,5653,,,,,,,,,-55.0
2026-05-22,B,short,0,5775,,,,,,,,,-55.0
2026-05-22,C,long,0,,,,,,,,,,-55.0
2026-05-22,D,long,1,5775,10:05,5805,15:25,5710,eod_close,-9500,-118,164,-55.0
2026-05-25,A,long,0,5509,,,,,,,,,-47.0
2026-05-25,B,short,1,5725,09:35,5725,15:25,5873,eod_close,-14800,-348,0,-47.0
2026-05-25,C,long,0,,,,,,,,,,-47.0
2026-05-25,D,long,0,5725,,,,,,,,,-47.0
2026-05-26,A,long,0,5669,,,,,,,,,0.0
2026-05-26,B,short,1,5791,10:20,5791,15:25,5547,eod_close,24380,-340,273,0.0
2026-05-26,C,long,0,,,,,,,,,,0.0
2026-05-26,D,long,0,5791,,,,,,,,,0.0
2026-05-27,A,long,1,5469,09:05,5469,15:25,5397,eod_close,-7200,-166,209,-39.0
2026-05-27,B,short,0,5726,,,,,,,,,-39.0
2026-05-27,C,long,0,,,,,,,,,,-39.0
2026-05-27,D,long,0,5726,,,,,,,,,-39.0
2026-05-28,A,long,0,5189,,,,,,,,,1.0
2026-05-28,B,short,0,5516,,,,,,,,,1.0
2026-05-28,C,long,0,,,,,,,,,,1.0
2026-05-28,D,long,0,5516,,,,,,,,,1.0
2026-05-29,A,long,0,5283,,,,,,,,,60.0
2026-05-29,B,short,0,5479,,,,,,,,,60.0
2026-05-29,C,long,0,,,,,,,,,,60.0
2026-05-29,D,long,1,5479,10:05,5611,15:25,5659,eod_close,4800,-185,203,60.0
2026-06-01,A,long,0,5575,,,,,,,,,50.0
2026-06-01,B,short,1,5747,09:35,5747,15:25,5770,eod_close,-2300,-114,55,50.0
2026-06-01,C,long,0,,,,,,,,,,50.0
2026-06-01,D,long,0,5747,,,,,,,,,50.0
2026-06-02,A,long,0,5574,,,,,,,,,0.0
2026-06-02,B,short,1,5750,12:40,5750,15:25,5717,eod_close,3300,-23,323,0.0
2026-06-02,C,long,0,,,,,,,,,,0.0
2026-06-02,D,long,0,5750,,,,,,,,,0.0
2026-06-03,A,long,0,5377,,,,,,,,,35.0
2026-06-03,B,short,0,5608,,,,,,,,,35.0
2026-06-03,C,long,0,,,,,,,,,,35.0
2026-06-03,D,long,1,5608,09:35,5707,15:25,5878,eod_close,17100,-144,194,35.0
2026-06-04,A,long,1,5800,09:40,5800,15:25,5883,eod_close,8300,-73,284,-23.0
2026-06-04,B,short,0,5937,,,,,,,,,-23.0
2026-06-04,C,long,0,,,,,,,,,,-23.0
2026-06-04,D,long,0,5937,,,,,,,,,-23.0
2026-06-05,A,long,0,5482,,,,,,,,,-29.0
2026-06-05,B,short,1,5808,15:15,5808,15:25,5830,eod_close,-2220,-32,10,-29.0
2026-06-05,C,long,0,,,,,,,,,,-29.0
2026-06-05,D,long,0,5808,,,,,,,,,-29.0
2026-06-08,A,long,0,5521,,,,,,,,,-17.0
2026-06-08,B,short,1,5675,10:35,5675,15:25,5909,eod_close,-23400,-403,85,-17.0
2026-06-08,C,long,0,,,,,,,,,,-17.0
2026-06-08,D,long,0,5675,,,,,,,,,-17.0
2026-06-09,A,long,0,5811,,,,,,,,,61.0
2026-06-09,B,short,0,5835,,,,,,,,,61.0
2026-06-09,C,long,0,,,,,,,,,,61.0
2026-06-09,D,long,1,5835,09:45,5955,15:25,5705,eod_close,-25000,-254,124,61.0
2026-06-10,A,long,1,5696,09:05,5696,15:25,5663,eod_close,-3300,-345,20,58.0
2026-06-10,B,short,0,5725,,,,,,,,,58.0
2026-06-10,C,long,0,,,,,,,,,,58.0
2026-06-10,D,long,0,5725,,,,,,,,,58.0
2026-06-11,A,long,0,4995,,,,,,,,,-59.0
2026-06-11,B,short,1,5628,10:45,5628,15:25,5636,eod_close,-788,-98,167,-59.0
2026-06-11,C,long,0,,,,,,,,,,-59.0
2026-06-11,D,long,0,5628,,,,,,,,,-59.0
2026-06-12,A,long,1,5556,09:50,5556,15:25,5696,eod_close,14000,-129,186,-16.0
2026-06-12,B,short,0,5646,,,,,,,,,-16.0
2026-06-12,C,long,0,,,,,,,,,,-16.0
2026-06-12,D,long,0,5646,,,,,,,,,-16.0
2026-06-15,A,long,1,5675,09:05,5675,12:45,5215,stop,-46000,-493,61,4.0
2026-06-15,B,short,0,5700,,,,,,,,,4.0
2026-06-15,C,long,1,5485,14:40,5485,15:25,5712,eod_close,22700,-69,249,4.0
2026-06-15,D,long,0,5700,,,,,,,,,4.0
2026-06-16,A,long,1,5698,09:05,5698,15:25,5643,eod_close,-5500,-314,39,104.0
2026-06-16,B,short,0,5850,,,,,,,,,104.0
2026-06-16,C,long,0,,,,,,,,,,104.0
2026-06-16,D,long,0,5850,,,,,,,,,104.0
2026-06-17,A,long,1,5750,09:05,5750,15:25,5843,eod_close,9300,-207,370,-21.0
2026-06-17,B,short,0,5826,,,,,,,,,-21.0
2026-06-17,C,long,0,,,,,,,,,,-21.0
2026-06-17,D,long,0,5826,,,,,,,,,-21.0
2026-06-18,A,long,1,5800,09:05,5800,15:25,5846,eod_close,4600,-35,482,25.0
2026-06-18,B,short,0,5850,,,,,,,,,25.0
2026-06-18,C,long,0,,,,,,,,,,25.0
2026-06-18,D,long,0,5850,,,,,,,,,25.0
2026-06-19,A,long,0,5875,,,,,,,,,61.0
2026-06-19,B,short,0,5937,,,,,,,,,61.0
2026-06-19,C,long,0,,,,,,,,,,61.0
2026-06-19,D,long,1,5937,09:30,5984,15:25,5825,eod_close,-15900,-230,143,61.0
2026-06-22,A,long,1,5818,09:05,5818,15:25,5760,eod_close,-5840,-97,401,16.0
2026-06-22,B,short,0,5900,,,,,,,,,16.0
2026-06-22,C,long,0,,,,,,,,,,16.0
2026-06-22,D,long,0,5900,,,,,,,,,16.0
2026-06-23,A,long,1,5755,09:40,5755,15:25,6002,eod_close,24700,-62,450,51.0
2026-06-23,B,short,0,5830,,,,,,,,,51.0
2026-06-23,C,long,0,,,,,,,,,,51.0
2026-06-23,D,long,0,5830,,,,,,,,,51.0
2026-06-24,A,long,1,5892,09:05,5892,15:25,6143,eod_close,25140,-145,271,-68.0
2026-06-24,B,short,0,6067,,,,,,,,,-68.0
2026-06-24,C,long,0,,,,,,,,,,-68.0
2026-06-24,D,long,0,6067,,,,,,,,,-68.0
2026-06-25,A,long,0,5968,,,,,,,,,68.0
2026-06-25,B,short,0,6092,,,,,,,,,68.0
2026-06-25,C,long,0,,,,,,,,,,68.0
2026-06-25,D,long,1,6092,09:35,6115,15:25,6045,eod_close,-7000,-203,85,68.0
2026-06-26,A,long,1,6055,09:20,6055,15:25,5984,eod_close,-7100,-129,186,-7.0
2026-06-26,B,short,0,6185,,,,,,,,,-7.0
2026-06-26,C,long,0,,,,,,,,,,-7.0
2026-06-26,D,long,0,6185,,,,,,,,,-7.0
2026-06-29,A,long,1,5953,09:20,5953,15:25,6105,eod_close,15200,-221,283,-3.0
2026-06-29,B,short,0,6000,,,,,,,,,-3.0
2026-06-29,C,long,0,,,,,,,,,,-3.0
2026-06-29,D,long,0,6000,,,,,,,,,-3.0
2026-06-30,A,long,1,6074,09:05,6074,15:25,6226,eod_close,15200,-58,295,9.0
2026-06-30,B,short,0,6134,,,,,,,,,9.0
2026-06-30,C,long,0,,,,,,,,,,9.0
2026-06-30,D,long,0,6134,,,,,,,,,9.0
2026-07-01,A,long,0,6110,,,,,,,,,15.0
2026-07-01,B,short,1,6266,09:55,6266,15:25,6461,eod_close,-19500,-232,102,15.0
2026-07-01,C,long,0,,,,,,,,,,15.0
2026-07-01,D,long,0,6266,,,,,,,,,15.0
2026-07-02,A,long,0,6261,,,,,,,,,24.0
2026-07-02,C,long,0,,,,,,,,,,24.0
2026-07-03,A,long,1,6463,09:05,6463,11:15,5920,stop,-54300,-533,0,-9.0
2026-07-03,B,short,0,6656,,,,,,,,,-9.0
2026-07-03,C,long,0,,,,,,,,,,-9.0
2026-07-03,D,long,0,6656,,,,,,,,,-9.0
2026-07-06,A,long,1,6333,09:05,6333,15:25,6344,eod_close,1060,-138,323,95.0
2026-07-06,B,short,0,6413,,,,,,,,,95.0
2026-07-06,C,long,0,,,,,,,,,,95.0
2026-07-06,D,long,0,6413,,,,,,,,,95.0
2026-07-07,A,long,1,6401,09:05,6401,15:25,6422,eod_close,2120,-204,151,-57.0
2026-07-07,B,short,0,6656,,,,,,,,,-57.0
2026-07-07,C,long,0,,,,,,,,,,-57.0
2026-07-07,D,long,0,6656,,,,,,,,,-57.0
2026-07-08,A,long,1,6427,09:05,6427,15:25,6344,eod_close,-8280,-125,197,2.0
2026-07-08,B,short,0,6656,,,,,,,,,2.0
2026-07-08,C,long,0,,,,,,,,,,2.0
2026-07-08,D,long,0,6656,,,,,,,,,2.0
2026-07-09,A,long,1,6405,09:10,6405,15:25,6451,eod_close,4620,-206,165,-5.0
2026-07-09,B,short,0,6511,,,,,,,,,-5.0
2026-07-09,C,long,0,,,,,,,,,,-5.0
2026-07-09,D,long,0,6511,,,,,,,,,-5.0
2026-07-10,A,long,1,6400,09:45,6400,15:25,6691,eod_close,29100,-147,302,-27.0
2026-07-10,C,long,0,,,,,,,,,,-27.0
2026-07-13,A,long,1,6506,09:55,6506,15:25,6471,eod_close,-3500,-433,0,-88.0
2026-07-13,C,long,0,,,,,,,,,,-88.0
2026-07-14,A,long,1,6425,09:05,6425,15:25,6270,eod_close,-15500,-418,0,-8.0
2026-07-14,B,short,0,6451,,,,,,,,,-8.0
2026-07-14,C,long,0,,,,,,,,,,-8.0
2026-07-14,D,long,0,6451,,,,,,,,,-8.0
2026-07-15,A,long,0,6350,,,,,,,,,-35.0
2026-07-15,B,short,1,6375,09:30,6375,15:25,6500,eod_close,-12500,-355,111,-35.0
2026-07-15,C,long,0,,,,,,,,,,-35.0
2026-07-15,D,long,0,6375,,,,,,,,,-35.0
2026-07-16,A,long,1,6450,09:05,6450,15:25,6434,eod_close,-1600,-383,151,-19.0
2026-07-16,B,short,0,6690,,,,,,,,,-19.0
2026-07-16,C,long,0,,,,,,,,,,-19.0
2026-07-16,D,long,0,6690,,,,,,,,,-19.0
2026-07-17,A,long,1,6444,09:05,6444,15:25,6094,eod_close,-34980,-413,118,40.0
2026-07-17,B,short,0,6690,,,,,,,,,40.0
2026-07-17,C,long,0,,,,,,,,,,40.0
2026-07-17,D,long,0,6690,,,,,,,,,40.0
2026-07-20,A,long,1,6103,09:05,6103,15:25,6196,eod_close,9300,-259,104,-2.0
2026-07-20,B,short,0,6192,,,,,,,,,-2.0
2026-07-20,C,long,0,,,,,,,,,,-2.0
2026-07-20,D,long,0,6192,,,,,,,,,-2.0
2026-07-21,A,long,1,6116,09:05,6116,15:25,6088,eod_close,-2800,-231,182,-57.0
2026-07-21,B,short,0,6211,,,,,,,,,-57.0
2026-07-21,C,long,0,,,,,,,,,,-57.0
2026-07-21,D,long,0,6211,,,,,,,,,-57.0
2026-07-22,A,long,1,6017,09:05,6017,15:25,5819,eod_close,-19800,-319,83,44.0
2026-07-22,B,short,0,6075,,,,,,,,,44.0
2026-07-22,C,long,0,,,,,,,,,,44.0
2026-07-22,D,long,0,6075,,,,,,,,,44.0
2026-07-23,A,long,1,5844,09:05,5844,11:00,5384,stop,-46000,-479,0,72.0
2026-07-23,B,short,0,6003,,,,,,,,,72.0
2026-07-23,C,long,0,,,,,,,,,,72.0
2026-07-23,D,long,0,6003,,,,,,,,,72.0
2026-07-24,A,long,1,5632,09:10,5632,15:25,5445,eod_close,-18700,-262,69,28.0
2026-07-24,B,short,0,5822,,,,,,,,,28.0
2026-07-24,C,long,0,,,,,,,,,,28.0
2026-07-24,D,long,0,5822,,,,,,,,,28.0
2026-07-27,A,long,1,5565,09:05,5565,15:25,5218,eod_close,-34667,-342,95,-55.0
2026-07-27,B,short,0,5717,,,,,,,,,-55.0
2026-07-27,C,long,0,,,,,,,,,,-55.0
2026-07-27,D,long,0,5717,,,,,,,,,-55.0
2026-07-28,A,long,1,5136,09:05,5136,15:25,4985,eod_close,-15100,-245,163,40.0
2026-07-28,B,short,0,5557,,,,,,,,,40.0
2026-07-28,C,long,0,,,,,,,,,,40.0
2026-07-28,D,long,0,5557,,,,,,,,,40.0
2026-07-29,A,long,1,4989,09:05,4989,11:00,4529,stop,-46000,-487,0,-44.0
2026-07-29,B,short,0,5172,,,,,,,,,-44.0
2026-07-29,C,long,1,4551,11:15,4551,15:25,4881,eod_close,33000,-18,348,-44.0
2026-07-29,D,long,0,5172,,,,,,,,,-44.0
2026-07-30,A,long,0,4844,,,,,,,,,-2.0
2026-07-30,B,short,1,4957,10:30,4957,15:25,4797,eod_close,16000,-10,335,-2.0
2026-07-30,C,long,0,,,,,,,,,,-2.0
2026-07-30,D,long,0,4957,,,,,,,,,-2.0
