"category","kpi_id","kpi_label","unit","8058","8031","8001","8053","8002","2768","8015"
"A","doe","DOE (株主資本配当率)","%","4.48","3.90","4.88","4.21","4.56","3.15","4.21"
"A","total_payout_ratio","総還元性向","%","","","","","","",""
"A","buyback_amount","自己株買い (12M, 億円)","億円","","","","","","",""
"A","payout_ratio","配当性向","%","59.94","33.31","30.08","26.84","29.02","29.93","34.19"
"A","crossheld_to_eq","政策保有 / 純資産","%","","","","","","",""
"B","roe","ROE","%","8.98","10.30","13.91","13.52","12.85","9.96","13.20"
"B","roic","ROIC (簡易: NI/IC)","%","5.16","5.93","8.14","6.49","7.47","4.16","6.96"
"B","pbr","PBR","倍","2.12","1.95","2.20","1.80","2.28","1.19","2.30"
"B","per","PER","倍","29.76","18.28","14.95","13.61","16.69","11.82","19.57"
"B","ev_ebitda","EV/EBITDA","倍","30.09","26.14","15.89","19.10","26.41","22.67","11.10"
"C","resource_ratio","資源 営業利益比率","%","","","","","","",""
"C","overseas_revenue","海外売上高比率","%","","","","","","",""
"C","segment_roic","セグメント別 ROIC 開示","有/無","","","","","","",""
"D","net_debt_ebitda","ネット有利子負債/EBITDA","倍","5.69","5.80","3.41","5.87","4.89","10.38","0.94"
"D","equity_ratio","自己資本比率","%","","","","","","",""
"D","interest_coverage","インタレスト・カバレッジ","倍","","","","","","",""
"E","cash_to_mcap","現預金 / 時価総額","%","9.73","6.01","5.77","12.66","5.49","19.79","20.49"
"E","large_holder_count","大量保有報告件数 (12M)","件","","","","","","",""
"E","crossheld_reduction","政策保有縮減率 (5期)","%","","","","","","",""
